"""Stiftungsverzeichnis Mecklenburg-Vorpommern Nummer 18439"""
"01880430723, Finanzamt Fulda"
218/123/60083
218/191/82660
218/5735/0608
218182
21822
218227
21838380
218422B
2185
21857350608
21860
21863
21866
218677420
218863
21887
2189
218991411
219053 B
219123710
219151910
219188
219288818
2193
21941
219576
21973
219740500
21977
219878B
21989
219904
22
22/200/13035
22/236/32208
22/290/55189
22/294/54951
22/296/31471
22/299/00563
220/118/02706
220/149/02205
22018
220181917
220258340
2203
220336364
220390593
22041
22043
22045
22046
22047
22049
2205
2206
22071/22809
22076/13627
22081
22083
22085
22087
22089
22092
22093
22096
221/149/02970
22100
22103/01017
22103/10809
22103/23705
22103/23959
22104/03934
22104/09701
22104/17404
22104/36805
22104/86408
2210442973
22105/05901
22105/07400
22105/13304
22105/63101
22105/69203
22105/86909
22106/08005
22106/21500
22106/23255
2210615909
22107/07303
22107/07901
22107/11608
22107/27308
22107/27800
22108/14702
22108/16264
22108/16705
22108/82908
22111
22113
22115
22117
22119
22130
221321765
22135
221362
22138
22140
22143
22145
221465858
22147
221488237
22149
221525
2215704912
22157490125
22159
22175
221759330
2218
22180/19354
22182/12508
22182/15802
22182/21002
22183/01508
22183/02906
22183/08353
22183/09200
22184/02600
22184/03806
22184/13508
22184/19854
2218413508
221867890
22197/12409
22199 / 11745
22199/11745
2219901867
222/149/02404
22206
22208/05009
222221806105
222279919
22233/37063
22234/10019
22234/22005
222393583
22257005447
22258542779
22258654273
22258752909
22259923425
2227
222741733
222783239
2228
22285/69509
222893881
222961645
22297
22299
223/119/02745
22301
22303
223036302
22305
22309
22310
22311/73002
22327
22329914112
22333
22335
22339
22348
223491075
223539355
22358160026
22372
22377
22386
22391
22393
22395
223957493
22397
22399
224
224/299/10521
224018
2241027507
22415
22416517
22417
224178908
22419
2242/103/00185
2243
224348B
22453
22455
22457
224571
22459
2246062501501
2246063101507
2246063101515
2246073100150
2246073701065
2246074602362
2246074704300
2246076000564
224627951
224634
22464/49904
22466
2247
22478
224869263
224877327
22488
2249/112/04008
2249064101375
224928
22496
224968446
224998101
2250076801489
22503
22523
225240072
22525
22527
22529
225332719
22535
22547
22549
2255
22550
22559
225619
225663
22576
225766699
225826 B
22586
22587
22589
225928
22594
22596
226042
22605
22607
22609
22613
22617
2263
226308856
22632
226399192
226437615
226493
2265
22653
226595
226605 B
22662
22664
226640879
22667
2267
22672
226852414
226936780
227/135/01232
227/150/01105
2270
227020
2271033917401
22730
22731
22734
227350431
22741
22749
227500 (Amtsgericht München)
22761
227623
227627721
22763
22764
22765
22767
22768
22769
227858145
227897
2279
22790
228
228/201/20616
22813
228132858
2282
22821
22836
228434
22844
22846
22848
22850
22851
228584
22866
22869
22880
22883
22885
22889
22894
2290
229080
229103
229105
22914
22926
229269760
22927
22929
229316
22941
22946
22949
22957
229624
22964
22969
22971
229731
22995
229954121
229979
230/244/30065
2301052420635
230112016
230321588
23035/08088
230365335
230547939
23057
23057482274
23057630021
23057700273
230868881
230869227
230882880
230916457
230993
231/158/13404
231/299/07454
2310004850104
231009
23101
23113/48808
231240
23126/37802
2314
231472
231504
23152/18408
231526
231582619
231591804
23165
23166/40014
231728
231752063
23177
23187/21608
23188
232/106/09326DE311955741
232/151/37805
2320/200/10261
232017
23205/12001
2321013964699
2321023386906
23213/37012
2322020054637
232210282
23230/21605
232309
23237
2325020517276
2325027120827
232554
23261
23263
232650378
23269
2327/200/11422
23276/31229
23287
233
2330023154408
233173295
2334/201/73204
2335012960318
233580
233743
23386
233950
233966187
234
2340
23403
23408
2341020004308
234190
23447
2345024182003
23462
234850695
234923989
23495
235/252/00183
235062068
2351020100445
235122906
2352024190440
235327
23535
235385
2354020060007
235464792
235486 B
2355024101605
23552
23554
23556
23558
2356
23560
23562
23564
23566
23568
23569
23570
23577
235863
235916994
23596
2361020711256
2361024141098
2361024149447
23611
236138
23616
23617
23619
23620
236201
2362020500168
23622
23623
23626
23627
236363994
23639
2364024115033
236407222
236407773
2365
236520
236520 München
23652664
236528634
23655
236644357
23669
2367
236710
236736
23683
23684
23689
2369024104359
236996455
237 TOKYO SUSHI | 90473
2370
2370024100010
23701
23714
23715
23717
23730
237342
237346255
237346677
237346732
23738
2374
23743
23747
2375
23758
23762
237631489
23769
237733628
23774
23776
2379
23795
238
238/118/04592
238/266/06258
23810
238104182
23812
23813
23816
23819
23827
23829925176
23829933217
23829988011
238405286
23843
23845
238472083
2385
238541698
23857
23863
238654
238671836
238688
238697844
23879
2388 Stralsund
23881
23896
23901
23905
23909
23913
239131421
2393
23936
23946
23948
2396
23966
23968
23970
23972
239769116
239856
239882568
23996
24/085/42295
24/203/04127
24/289/12151
240/163/17809
240049422
2401011034560
240151622
240196
2402
240329870
240362074
240391652
240428075
24045
2405
24051
240622512
240623587
240628
240698501
2407
24074
24076
24090
240953
24101
24103
24105
24106
24109
2411
24111
24113
241134665
24114
24118
24119
241307731
24143
24145
24147
24148
2415
241503182
241568513
24159
24161
241628
241771158
24188
24211
24214
24217
2422
24220
242218
24223
24228
24229
242299533
2423
24232
24235
24238
24242
24244
24247
24248
24251
242681
24277
242789
24284
2428913103
2429
242918
24293
24300
24304
24306
243160373
24321
24326
24340
243559
2436
243638947
24367
24369
24371
243742 (Amtsgericht München)
24376
243762
2438
243800749
24386
2439
24395
243953499
24400
24401
24402
24404
244129
24418
244260
2443008040602
244304
24437
244412019
24447
24451
244523487
24453
244657185
2447
24478
244803975
245332131
24534
24536
245365526
24537
24539
245548364
24558
24568
2457
245738656
24576
245793 (Amtsgericht München)
245818267
24582
24589
24594
245975683
245977
24598
246
24600060473
24601
24604
24605
24607
246113
246141660
24616
24617
246172
24619
246204056
24623
24628
24629
246310
24634
2464
24640
24641
246459952
24647
24652
246610263
246666301
2467
246797
246805653
2469
246967
247 699 08
247156996
24739
2475
247520
247520 (München)
24764
24768
24782
24787
2479
24790
24791
24794
24796
2480
24801B
248022891
24808
24816
248167542
24817
24822
24823
24837
24838
24845809
24848
248545486
24855
24856
248585606
24860
24868139
24869
248712199
24879
248839
248842769
24887
24888
2489
248909192
24894
248950282
24896
24911
2492
24925
249275
24929
249292
24933
24937
24939
24941
24944
249514866
24955
249574792
24959
24960
24963
24966
24972
249747
24975
24980
24983
24988
24991
24994
24997
25 Minutes Bielefeld | 33602
25-117-00417
25/081/01114
25/202/01279
25/202/01651
250027436
2501
250132
250156055
25016
250164
250165189
2504
250406022
25046
25047
250492550
250614312
250711
25073
250783
2508
25081
25089
250890
25099
250997783
251006
251055
25109
2511
25113
251244
251383407
251388374
251523115
2516
25162
251627088
251662
251662788
25168
25172
251748943
251869130
25195
2520226433
252035074
2521
252106
252128134
2522407404
25225
25231
252425
252427551
252556210
25262
25275
252892798
25291
252917
252918573
25294
253
25307
25315
253300
25335
25336
25337
2534
253429751
25348
253527
25355
25358
25364
253647
253651441
25369
253733
2538
25380
25381
253824315
2539767-3
254053
25413
25414
25415
25417
254183
25420
25421
25423
25424
254250380
254269219
254278
25429
254312614
25436
254367883
25437
254386
25439
254418670
254446339
25451
254523767
25454
254587185
25462
25469
25470
25474
25481
25482
25483
254842248
25485
25486
25487
25489
2549
254939860
25495
254979103
255
25508
25511
255188453
25524
255272954
255359964
25540
25541
25542
25543
255448498
25545
25548
25551
255523161
25557
2556
25561
255629
25566
25570
25572
25573
255737
25575
25576
25578
255855549
255857559
255860407
25591B
25596
255962 (München)
25597
2560
25602
25620
25629
25631
2564
25641
256519199
25652P
25663
2569
25692
25693
25694
25699
25704
25709
257105377
25712
257127
25719
25720
25721
25722
25723
25724
25725
2573
25734
25738
2574
257432
25746
25753
25756
25761
25764
25765
257673687
25770
25774
25775
257776048
25778
25782
25783
25785
257870
257911249
25793
25797
25799
25801
25809
2581
25813
258178
25821
25826
2583
25832
258321291
258324968
25836
25837
25840
25844
258489346
25852
25861
25864
25870
25871
25873
25880
25881
258811723
25882
25884
25885
25889
25891
258924597
259/152/53205
25901
259011
259019502
25909
259152
25917
2592
25923
25924
25926
25927
259305137
25931
25932
25934
25936
25938
259413300
25946
259500135
259606444
25972
25976
259777
259798363
25980
259826
259851480
25988
2599
25992
25993
25994
259951185
25996
25999
25MINUTES Bergedorf | 21039
25Minutes Hamburg-Winterhude | 22303
26/146/00481
260023700
26003
26008
2601
26016
2602084460054
2602089006889
2602089014847
2602089026037
260220823
260234791
260239754
26024
2603080832705
26031
26040
260403384
260406215
2604082103835
26048
2605081731791
2605088261599
26059
26060
260614202
26063
26070
2607081233762
2607083061520
2607085161259
26073
26076
260785996
2608070254 Steuernummer
2608081900756
2610032200094
2611311729
261151755
26120
261207888
2612080901837
26121
26122
26123
26125
261264675
26129
2613085567079
2613086768471
26131
26133
261334
26135
26140
261493718
26150
26158
261583149
261586405
261597065
2616 835 32569
26160
2616082833001
2616085331459
26169
2617004933
261750708
26180
2618081761162
2618089058631
26187
26188
26190
2619023151262
2619088530924
261922115
26198
26200
2620031530881
26203
26208
26209
2621
262110365
26213
26215
26217
26219
2622030560219
2622618553
26231
2624035630073
26246
26247
2625
2625089007159
26254
26256
2626022640632
2626035960101
2626089075607
2627030400129
2627033100076
2627082261441
2627082660637
26274
26275
2628
2628084530690
26286
26288
26295
262999468
263024871
2630555-8
2631083430046
2631089056095
263147730
26316
263174704
263232
263237502
2633033860178
2633088101423
263320993
26340
26343
26345
26346
26348
26349
2635080533193
263523539
2636082900320
2636085960529
26363
2637082560089
2637087830042
26374
26375
263766280
26377882
26380
26382
26384
26386
26388
26389
26390
26391
26394
264
2640009737020
26404
26408
26409
2641081230074
264132252
26416
26419
26420
264201095
2642081202060
26427
26430
26431
264323598
26434
2644084468049
26441
26446
2645
26450
26452
26453
26454
2646081061378
26461
26465
2647
26472
26473
26478
26480
26485
26486
26487
26491
264950660
26496
26503
265057347
26506
265097070
26527
265311448
26535892
26538
2654
26543
26548
26551
26552
26553
26556
265667502
26569
26571
265744217
26587
26597
26603
26605
26607
2661
26615
26624
266246468
26629
26630
26632
26639
26642
26655
266599226
26660
26669
26670
26673
2667411506
26675
26676
266782735
26682
26683
266852319
266880
26689
26691
26693
26700
267073340300448
26714
26715
26721
26723
26725
26735
26736
26738
26757
267602720
26765
267694019
2677
26772
26773
26781
267875228
26788
26789
2679
267915403
267977922
26798
267995733
26802
268055938
26807
2681
26810
26817
26826
26830
26835
268396158
26842
26844
268449926
268534361
26859
268598664
26860
26871
268745394
26878
2688
2688744411
26889
2689017631204
26892
26897
26899
26901
26903
26904
26909
26916
26919
26920
269213677
26931
26939
2694
26947
2695
26954
26964
26965
26969
269693789
269703530
269767777
26981
2699
26994
26995
269956887
27/250/75473
27/256/00006
27/620/55937
270036779
2701
2701/0065509224
2701000231018
2701001530559
2701003031096
2701003333046
2701003830829
2701003832505
2701005033222
2701005831164
2701006631146
2701007532304
2701008330093
2701010032492
2701011430005
2701011633368
2701012134299
2701012730493
2701015134185
2701015230927
2701015331541
2701015731565
2701015831519
2701016130739
2701016232530
2701017130470
2701019630943
2701021000102
2701021000763
2701021000825
2701021001780
2701021002627
2701021004117
2701021005116
2701021005946
2701021006856
2701021007025
2701021007089
2701021012448
2701022301311
2701022305068
2701022316430
2701035504988
2701066103684
2701066300140
2701066300202
2701066305010
2701066500219
2701066503742
2701066506623
2701066506794
2701066508845
2701066515793
2701066518246
2701066521198
27016
270173427
2702
270276
270276 (München)
27028
270314348
270339145
270344325
270350772
270354503
27037
27041
270418819
27046
27054692
270560478
2706039027006
27064
27073
270867291
270976758
270977
271 132 0076
271 141 0452
271 22 35 76
2710
2710012341039
2710020241122
2710021441093
2710022440706
2710022643667
2710023145828
2710023244329
2710033310700
2710065303266
2710065702076
271056899
2711
271119
2711300127
2712005709022
2712034567891
271300638
271401328
271427626
27153
27163
27165
271733660
271941763
27197
272 116 0028
272 126 0069
272/299/56892
27200
2720024290687
2720100294
272052708
2720901008
27211
2721180400
2721280051
2721400029
2721470233
2722
2722020002340
2722025177224
2722045811172
2722065002498
2722065503410
2722626736
2722737209
272293150
27232
272363
27239
27240
27243
272440166
27248
27249
272496364
2725
27251
27254
272563
272582379
27260
27261
27265
272683001
2727/235/8021/2
272701
2728
27283
2729000160045
2729000160630
2729066000108
272924479
27293
27299
273 178 0037
273-03-460-009-3095
27305
27308
2731
2731065803034
27313
27317
27318
2732066014277
27324
27327
27336
27337
27339
273434701
27354037
27356
27367
273712897
27374
273782462
27381
27386
27389
2739
274
274 112 0009
274 112 0180
274 113 0039
274 114 0085
274 114 0128
274 120 0223
274 134 0329
274 135 0002
274 165 0138
274 172 0134
274 172 0293
274 174 0082
274 174 0144
274 176 0140
274 184 0014
274 185 0112
274 188 0035
274 193 0146
274 194 0059
2740000000000
274011294
27403/41574
27404
2741/231/00452
2741/232/00415
2741/235/0011/8
27412
274152232
2741870060
27419
2742
2742/234/14399
274201364
2742021808477
2742023504041
2742023504201
2742065407451
2743007142512
2743023322735
2743066714240
2743066804731
2743066805892
27432
27440
27442
27446
274468
27457
27464
27472
27476
27478
274783021
27483
274927423
27495
27498
275 114 0155
275 114 0271
275 122 0005
275 125 0248
275 127 0016
275 138 0432
275 143 0072
275 143 0226
275 145 0462
275 151 0227
275 151 0237
275 154 0978
2751
27511
275243
275291570
275310921
27534
275347946
27545
2755
27550
27560
27568
27570
275717576
27572
27574
27579
27583
27587
27589
276 03 152 009 0093
276 03 256 032
276 03 351 005 0035
276 03 352 062 0204
276 03 357 037 0036
276 03 359 002 0576
276 03 456 004 0075
276 03 456 017 0029
276 05 370 012 0450
276 051000006384
276-03-453-001-0255
276-03-453-001-0522
276-03-453-001-0523
276-03-453-002-0385
276-03-453-002-0544
276-03-453-008-0262
276-03-453-008-6914
276-03-453-008-7437
276-03-458-003-0160
276-03-458-008-9942
276-03-458-009-1428
276-03-458-010-0235
276-03-458-010-1821
276-03-458-010-1856
276-03-458-010-3295
276-03-458-010-3864
276-03-458-013-2180
276-03-460-002-0577
2760 7316 000 0146
27600
2760034530061564
27603 151 007 0167
27603 151 013 0181
27603 154 012 0086
27603 154 021 0060
27603 253 011 1340
27603 256 007 0092
27603 256 034 0358
27603 351 024 1692
27603 352 043 0083
27603 352 043 0122
27603 352 062 0281
27603 356 007 0972
27603 356 009 0564
27603 357 045 0058
27603 357 047 0077
27603 358 022 0563
27603 359 004 0106
27603 452 001 1864
27603 457 012 0137
27603 457 012 0180
27603 457 014 0578
27603 457 014 0742
276030089957
276030110000013
276030110000151
276030110000159
276030110000177
276030110000224
276030110000339
276030110000354
276030110000362
276030110000472
276030110000515
276030110001580
276030110001676
276030110001834
276031010001175
276031010001256
276031010001700
276031030000175
276031030000909
276031030001166
276031030001330
276031510010128
276031510020095
276031510030080
276031510050048
276031510050097
276031510070031
276031510070141
276031510070167
276031510070169
276031510080082
276031510090021
276031510090169
276031510090212
276031510090257
276031510090284
276031510090418
276031510090514
276031510090917
276031510091031
276031510093425
276031510110063
276031510120035
276031510130002
276031510139982
276031510150195
276031510160789
276031510170257
276031510170269
276031510170919
276031510180071
276031510180273
276031510180278
276031510180333
276031510180336
276031510181012
276031510190101
276031510210073
276031510220011
276031510240080
276031510250019
276031510250328
276031510260010
276031510260046
276031510310010
276031510310075
276031510330032
276031510340053
276031510350070
276031510360125
276031510400386
276031510400389
276031510400471
276031510400497
276031510402176
276031520010006
276031520010236
276031520090093
276031520111185
276031520120336
276031520121097
276031520124069
276031520130049
276031520131772
276031520210074
276031530070049
276031540090092
276031540090110
276031550040190
276031550044091
276031550050140
276031550051250
276031550071800
276031550100244
276031550101007
276031550110356
276031550110597
276031550120610
276031550122939
276031560020105
276031560090095
276031560090105
276031560090573
276031560091071
276031570010396
276031570010399
276031570010594
276031570010672
276031570010739
276031570010750
276031570010758
276031570010859
276031570010874
276031570011763
276031570020254
276031570020632
276031570060179
276031570060707
276031570070221
276031580010057
276031580200010
276031580200441
276031580200940
276031580260516
276031580340004
276031580390006
276031580390069
276031580390086
276031590030255
276031590030331
276031590090284
276031590120425
276031590210177
276032490090106
276032510030106
276032510050496
276032510060033
276032510080006
276032510090017
276032510131829
276032510159783
276032510180017
276032510210080
276032510280071
276032510360051
276032510370085
276032510370117
276032510370137
276032510373879
276032510384066
276032510400217
276032510400358
276032510425237
276032510445652
276032510460084
276032510466188
276032510490009
276032520010149
276032520020137
276032520020354
276032520020567
276032520050841
276032520081439
276032520081445
276032530010233
276032530010254
276032530010406
276032530010626
276032530020138
276032530020143
276032530020217
276032530020463
276032530020495
276032530020505
276032530020642
276032530030283
276032530030355
276032530030382
276032530030429
276032530030441
276032530030485
276032530030565
276032530030735
276032530030771
276032530030898
276032530039950
276032530040025
276032530040172
276032530040250
276032530040256
276032530040646
276032530050044
276032530050078
276032530050101
276032530050122
276032530053652
276032530070190
276032530090058
276032530090936
276032530090980
276032530100395
276032530100652
276032530100944
276032530101150
276032530101213
276032530103838
276032530110425
276032530110446
276032530110810
276032530110910
276032530111259
276032530111332
276032530111439
276032530111629
276032530111765
276032530111967
276032530112057
276032530112425
276032530112454
276032530140077
276032530155028
276032530170267
276032530170451
276032530172584
276032530172588
276032530172777
276032530180236
276032530180522
276032530180590
276032530180706
276032530180709
276032530181003
276032530182829
276032530182848
276032530182932
276032530182978
276032530182995
276032530183047
276032530183085
276032530193153
276032530203310
276032540050183
276032540070037
276032540290147
276032540400016
276032540430126
276032550070009
276032550070068
276032550070217
276032550100351
276032550341009
2760325540080122
276032560070071
276032560070092
276032560090045
276032560120879
276032560160046
276032560160135
276032560180041
276032560210129
276032560220031
276032560250285
276032560300299
276032560313050
276032560320125
276032560320330
276032560330126
276032560330137
276032560335552
276032570030202
276032570030285
276032570030329
276032570030516
276032570100020
276032570140006
276032570240025
276032570301124
276032570302492
276032570330054
276033510010221
276033510010239
276033510010245
276033510020024
276033510020046
276033510030061
276033510040795
276033510040814
276033510050086
276033510060005
276033510060268
276033510060385
276033510060472
276033510060665
276033510080118
276033510130109
276033510150049
276033510150083
276033510180147
276033510220235
276033520010014
276033520020127
276033520040097
276033520040240
276033520050016
276033520050056
276033520050269
276033520060387
276033520066606
276033520110369
276033520110803
276033520110836
276033520110968
276033520111036
276033520150035
276033520171253
276033520189905
276033520221625
276033520250096
276033520300114
276033520300141
276033520300207
276033520302391
276033520306511
276033520320308
276033520320422
276033520320518
276033520320530
276033520320611
276033520380092
276033520403421
276033520409977
276033520410122
276033520413620
276033520420159
276033520423651
276033520423671
276033520423696
276033520430053
276033520430087
276033520430106
276033520440214
276033520440248
276033520460158
276033520464025
276033520500095
276033520500421
276033520500423
276033520501145
276033520510059
276033520514547
276033520514566
276033520520063
276033520530003
276033520550090
276033520550139
276033520560227
276033520560344
276033520590175
276033520590322
276033520590466
276033520590597
276033520600075
276033520600185
276033520600367
276033520600400
276033520610117
276033520620338
276033520630010
276033520630013
276033530090037
276033530110016
276033530110409
276033530220094
276033530290152
276033530310510
276033530331733
276033530350158
276033530361851
276033530380022
276033530380046
276033530380085
276033530410025
276033530410045
276033530412239
276033540010039
276033540020340
276033540020350
276033540050065
276033540070028
276033540080029
276033540090614
276033540090619
276033540160078
276033540230115
276033550040192
276033550130021
276033550200061
276033550240029
276033550250902
276033550271680
276033550291046
276033550490607
276033550490815
276033550491901
276033550491939
276033560020597
276033560030233
276033560030495
276033560040023
276033560050136
276033560050382
276033560050482
276033560050630
276033560070341
276033560070429
276033560070439
276033560070451
276033560070688
276033560070732
276033560071037
276033560071039
276033560071202
276033560090469
276033560090564
276033560091426
276033560110524
276033560111958
276033570010116
276033570050342
276033570080208
276033570080249
276033570080262
276033570080881
276033570080914
276033570090067
276033570120021
276033570120069
276033570130150
276033570140060
276033570160334
276033570180139
276033570210002
276033570210335
276033570212286
276033570220062
276033570250108
276033570280034
276033570350082
276033570352993
276033570370036
276033570380047
276033570390268
276033570393397
276033570410265
276033570410500
276033570410562
276033570410603
276033570413873
276033570420017
276033570426750
276033570440098
276033570450058
276033570456747
276033570474295
276033570490059
276033570494387
276033570510157
276033570530022
276033570570145
276033570570318
276033570570319
276033580010110
276033580020002
276033580020065
276033580020137
276033580020176
276033580020234
276033580020300
276033580020423
276033580020429
276033580090003
276033580130667
276033580170045
276033580190218
276033580190238
276033580190386
276033580190456
276033580190646
276033580190700
276033580191214
276033580210318
276033580220246
276033580220492
276033580221780
276033580221936
276033580230201
276033580240185
276033590020024
276033590020322
276033590020602
276033590040068
276033590050048
276033590060493
276033590083810
276033590090010
276033590120003
276033590130258
276033590130926
276033590190073
276033590220105
276033590230055
276033590230107
276033590240066
276033590241800
276033590251825
276033590270066
276033590280469
276033590302032
276033590310088
276033590352337
276033590370008
276033590370050
276033590380320
276033590380435
276033590380515
276033590382656
276033600060325
276033600062155
276033600070372
276033600070385
276033600090062
276033600240165
276033600240195
276033600250065
276033600250562
276033600270080
276033600300157
276033610040084
276033610050265
276033610050322
276033610050614
276033610051111
276033610051205
276033610051290
276033610060188
276033610060510
276034050000618
276034510041155
276034510050106
276034510071000
276034510071094
276034510071290
276034510071567
276034510071804
276034510080291
276034510080674
276034510081944
276034510081986
276034510081987
276034510089990
276034520010040
276034520010316
276034520010385
276034520010506
276034520010895
276034520010912
276034520010927
276034520010960
276034520011071
276034520011294
276034520011325
276034520011337
276034520011388
276034520011427
276034520011465
276034520011475
276034520011485
276034520011749
276034520011751
276034520011782
276034520011804
276034520012202
276034520016674
276034520016746
276034520016770
276034520060245
276034520060340
276034520060949
276034520065278
276034520120480
276034520120537
276034520122503
276034520140282
276034520140679
276034520190350
276034520230240
276034520230279
276034520230587
276034520234006
276034520234083
276034520234454
276034520234467
276034520239958
276034520250405
276034530010105
276034530050149
276034530050607
276034530056537
276034530057396
276034530061781
276034530070209
276034530071248
276034530071315
276034530072045
276034530072585
276034530082847
276034530100129
276034530103597
276034530103761
276034530110381
276034530110544
276034530110796
276034530120307
276034530124626
276034530124660
276034530127024
276034530127361
276034530130632
276034540050021
276034540050190
276034540100406
276034540101034
276034540120181
276034540140326
276034540140336
276034540180542
276034540200081
276034540250072
276034540260272
276034540263563
276034540263600
276034540280087
276034540283933
276034540283948
276034540294021
276034540320353
276034540320667
276034540320830
276034540324271
276034540324323
276034540324435
276034540324626
276034540350540
276034540446473
276034540446491
276034540456697
276034540460167
276034540550039
276034540570148
276034550070031
276034550070336
276034550070369
276034550072262
276034550140023
276034550140303
276034550140309
276034550150110
276034550250133
276034550250762
276034550270203
276034550270310
276034550271295
276034560010331
276034560020457
276034560030073
276034560060021
276034560060028
276034560060045
276034560060678
276034560060692
276034560110057
276034560110060
276034560111184
276034560140285
276034560150596
276034560150703
276034560151880
276034560152034
276034560202560
276034560230081
276034560252963
276034570070022
276034570080374
276034570100191
276034570100193
276034570100234
276034570100289
276034570105334
276034570110034
276034570110087
276034570110111
276034570120071
276034570130416
276034570130636
276034570139938
276034570140774
276034570145045
276034570200700
276034570200783
276034570200867
276034570202759
276034570202914
276034570202951
276034570211390
276034570213207
276034570220564
276034580060055
276034580060082
276034580060084
276034580060096
276034580070035
276034580070465
276034580070571
276034580070588
276034580070659
276034580071293
276034580120048
276034580130255
276034580152692
276034580152711
276034580286151
276034590030300
276034590030340
276034590030472
276034590030723
276034590080118
276034590140635
276034590149040
276034590170107
276034590240890
276034590244694
276034590260197
276034590260307
276034590270183
276034590296294
276034590299423
276034600010267
276034600020679
276034600028950
276034600030355
276034600040345
276034600041378
276034600041419
276034600045436
276034600050013
276034600050061
276034600050210
276034600050258
276034600050303
276034600050376
276034600070361
276034600080405
276034600090114
276034600090895
276034600092898
276034600100695
276034610030851
276034610032884
276034610040558
276034610042654
276034610050483
276034620010156
276034620012477
276034620020101
276034620020103
276034620020225
276034620020275
276034620050187
276034620050395
276034620050535
276034620050562
276034620050578
276034620050984
276034620050986
276034620051203
276034620051267
276034620051321
276034620053238
276034620053248
276034620061024
276034620080024
276034620080053
276034620081110
276034620130039
276034620190135
276034620190390
276034620191133
276034620191798
276034620191859
276034900020749
27605 570 012 0080
276050080126711
276051000002071
276051000003814
276051000006410
276051540562114
276051580080
276053580360121
276053620080116
276053620240034
276053700040205
276055580082813
276055580120379
276055580206310
276055580402004
276055580440081
276055660840051
276055700120080
276055700329021
276055700369805
276055700402006
276057540040201
276057620121266
276057620242803
276057620400001
276057660402406
276059130004610
276059580241219
276059580446704
276059740080383
276059740366354
27607
27607 331 003 0202
276071310140060
276071330320435
276071380370300
276071380450025
276071430290000
276071430310000
276071432000000
276071432060092
276071432560000
276071432630000
276071432680020
276072330260450
276072332040100
276072332400201
276072332410200
276084360120002
276084360120111
276091711340013
276091731110010
276091731180128
276091731230172
276091741180132
276091761140472
276091781420129
276091791340251
276091811200022
276091871140166
276091871560018
276091871590266
276091871630115
276091871650009
276091871670239
276091891620226
276091901490024
276091901520072
276092741240158
276092741720469
276092751220005
276092751520025
276093620000184
276093711560063
276093721160297
276093741170082
276093741190056
276093741550033
276093741560011
276093751190364
276093761170207
276093761170208
276093761170209
276093761190357
276093761250161
276093761610572
276093761630089
276093771290275
276093771540038
276093771540043
276093771540214
276093771590103
276094721270108
276094761540026
276095610000330
276095620000070
276095711360679
276095711740166
276095711900569
276095721110245
276095721330168
276095761270657
276096721120049
276096721170489
276096761160038
276096761310001
276096761560103
276096791740007
276097630000155
276097711440188
276097722000454
276097731360140
276097741270090
276097741430161
276097761180060
276097761250147
276097771110059
276097771110072
276097771110161
276097771240138
276097771280141
276097771400109
276097771440064
276097771510352
276097771510363
276097771510604
276097771540201
276097771590006
276097771720055
276097771720057
276097771750198
276097781340027
276097781440193
276097781860011
276097801120081
276097801120239
276097801120413
276097801190028
276097801190079
276097801190371
276097801240057
276097801370049
276097801430321
276097801430398
2761
276100421140461
276114328
27612
2761260052
276130027
276141610003000
276141730103000
276141732203400
276141770205000
276141770706000
276141771303200
276141771406300
276141771804200
276141772603300
276141782200005
276141785200416
276141786700029
276141811304000
276141813104100
276141820804600
276141821004100
276141821503300
276141824804400
276141880800160
276141882603100
276141912203200
276141931503900
276141932103200
276141935100004
276142720203800
276142720303200
276142721103700
276142721303900
276142722804500
276142800650101
276142801603700
276142802103900
276142841061751
276142851604800
276142853500009
276142860903200
276142862404000
276142863200871
276142863703400
276142863903500
276142870153200
276142871403100
276142901404000
276142903004800
276142921504000
276142922103100
276142923103000
2761430002
276143650000034
276143740601615
276143741700400
276143751403700
276143792603400
276143793501021
276143832905100
276143833300180
276143890300020
276143892205100
276143893304200
276143893400015
276147294100222
276147300500146
276151942
27616
276160610170100
276160610450900
276160610910100
276160620580010
276160620580020
276160620620130
276160630070100
276160630150010
276160630320500
276160630570400
276160630950130
276160640056010
276160640370010
276160650843000
276160660225800
276160660351650
276160660595700
276160670271570
276160670591750
276160670676024
276160680026017
276160680480160
276160680516056
276160690191110
276160690380144
276160690431390
276160690490200
276160690530030
276160700560870
276160700561540
276160710070010
276160720050010
276160730360090
276160730390120
276160730420210
276160730790230
276160740190140
276160740240090
276160740510150
276160740570049
276160750660025
276160750760060
276160750770030
276160750880020/1
276160750880020/2
276160751190064
276160751320300
276160751320810
276160760430100
276160760490030
276160760720018
276160760880400
276160770020300
276160770440160
276160770560170
27619
276203
27624
27628
27631570010746
27639
2764
276445456
276473
27650
276500091
276524074
276553521
27658
276580611
2766
276600462
2766020800185
27663
276683524
27669
27670
276700385
276865714
277 111 0158
277 111 0325
277 111 0698
277 121 0099
277 121 0140
277 121 0186
277 121 0249
277 121 0301
277 133 0057
277 141 0054
277 141 0130
277 142 0009
2770
277022590
27709
27711
27716
27717
27721
27726
27729
277384632
27749
27751
27753
27755
277557948
2776
2776 Amtsgericht Bayreuth
277620158
27777
277816248
27793
27798
277982860
277993160
278 112 0169
278 146 0428
278 159 0286
278 197 0234
27801
27802
27804
27809
2781290085
278169925
278169933
2781970234
27822
2783
278385193
